ISO3_Code,Country,Main Country Profile Link,Review Cycle 1 - Summary,Review Cycle 1 - PDF Link,Review Cycle 2 - Summary,Review Cycle 2 - Link
ALB,Albania,https://www.unodc.org/corruption/en/country-profiles/data/ALB.html,The review underscored progress in criminalizing bribery (national, foreign, and private sector), trading in influence, money laundering, embezzlement, abuse of functions, and establishing liability for legal persons, supported by specialized prosecutors, police units, and the Financial Intelligence Unit (FIU). Key strengths include mandatory prosecution, robust confiscation provisions, witness protection, and cooperation incentives. However, gaps persist in addressing illicit enrichment, interference with evidence, entity-related bribery, and asset management. The recommendations call for expanding criminalization, strengthening protections for whistleblowers and experts, improving regulation of confiscated assets, disqualifying corrupt officials from state-owned enterprises, and enhancing extradition, mutual legal assistance, and reintegration measures.,https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1601967e.pdf,The review noted Albania’s reforms under the second UNCAC cycle, including a national anti-corruption strategy, whistleblower protection, asset declarations, procurement and financial regulations, access-to-information rules, and AML measures. Good practices included Integrity Week, beneficial ownership registers, asset declaration portals, and strong international cooperation. However, challenges remained in regulating high-risk posts, ensuring transparency in political financing, protecting whistleblower anonymity, strengthening procurement oversight, addressing judicial backlogs, and improving asset recovery. The review recommended institutional strengthening, legislative reforms, and clearer rules for asset return.,https://track.unodc.org/uploads/documents/UNCAC/WorkingGroups/ImplementationReviewGroup/1-5September2025/CAC-COSP-IRG-II-1-1-Add.26/2508863E.pdf
ARG,Argentina,https://www.unodc.org/corruption/en/country-profiles/data/ARG.html,The review highlighted that the country the convention enforces it through the Constitution, Criminal Code, and related laws, with institutions such as the Anti-Corruption Office, specialized prosecutors, financial intelligence unit , and oversight bodies. Its framework criminalizes bribery (domestic, foreign, and trading in influence), embezzlement, abuse of functions, illicit enrichment, money laundering (including self-laundering), obstruction of justice, and some liability of legal persons, with good practices like broad AML provisions, confiscation powers, whistle-blower protections, and active roles of the Anti-Corruption Office and NGOs. Challenges remain in fully extending corporate liability, criminalizing bribery of foreign officials more clearly,https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1388719Ae.pdf,The review highlighted Argentina’s comprehensive anti-corruption framework under the Constitution, Criminal Code, AML and procurement laws, with institutions such as the Anti-Corruption Office, Financial Intelligence Unit (FIU), Comptroller and Auditor General, and National Procurement Office. Good practices included the 2019–2023 National Anti-Corruption Plan, integrity committees, ethics codes, procurement portals, access-to-information laws, and the Integrity and Transparency Registry for Enterprises. However, the review noted challenges in regulating Anti-Corruption Office appointments, ensuring merit-based recruitment, improving campaign finance transparency, addressing procurement conflicts of interest, strengthening whistleblower protections, and expanding AML coverage.,https://track.unodc.org/uploads/documents/UNCAC/WorkingGroups/ImplementationReviewGroup/1-5September2025/CAC-COSP-IRG-II-3-1-Add.18/2508866E.pdf
ARM,Armenia,https://www.unodc.org/corruption/en/country-profiles/data/ARM.html,"The review noted incorporation of the Convention into the country's legal framework, criminalizing bribery, money laundering, embezzlement, and related offences. However, it identified shortcomings, including the limited applicability of the law to legal entities, weak enforcement, and insufficient use of measures such as witness protection and asset confiscation. It recommended clarifying and strengthening legal definitions, enhancing coordination among anti-corruption institutions, and improving case management and technical capacity.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1501516e.pdf,"The review confirms that the Convention has been incorporated into the national legal framework, with bribery, money laundering, embezzlement, and related offences criminalized. Nonetheless, the review identifies shortcomings, including insufficient regulation of legal entities, weak enforcement in practice, and limited use of measures such as witness protection and asset confiscation. It recommends refining legal definitions, enhancing coordination among anti-corruption institutions, and strengthening case management systems and technical capacities to improve overall implementation.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries2/V2102056_E.pdf
AUS,Australia,https://www.unodc.org/corruption/en/country-profiles/data/AUS.html,"The review highlighted the country's multi-agency anti-corruption framework involving the Australian Commission for Law Enforcement Integrity, the Federal Police, the Crime Commission, and the Ombudsman. The legal framework criminalizes bribery of national and foreign officials, trading in influence, embezzlement, money laundering, abuse of functions, obstruction of justice, and establishes liability of legal persons, supported by strong enforcement tools such as unexplained wealth orders and non-conviction-based forfeiture under the Proceeds of Crime Act. Good practices noted included Australia’s broad jurisdiction over foreign bribery, the imposition of severe sanctions, and the principle that parliamentarians enjoy no immunity. At the same time, the review recommended phasing out facilitation payments, introducing comprehensive whistleblower protection, adopting a national anti-corruption strategy, and further strengthening mutual legal assistance and extradition procedures.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1253616e.pdf,"The review noted Australia’s strengthened anti-corruption framework through the Criminal Code, the Proceeds of Crime Act, the Anti-Money Laundering and Counter-Terrorism Financing (AML/CTF) Act, and various integrity laws, implemented by agencies such as the Australian Commission for Law Enforcement Integrity (ACLEI), the Australian Federal Police (AFP), the Australian Transaction Reports and Analysis Centre (AUSTRAC), and the Ombudsman. Good practices included the Open Government Action Plan, robust AML/CTF systems, whistleblower protection, the Fintel Alliance, and transparent budget reporting. However, the review identified gaps in political donation thresholds, regulation of gifts and conflicts of interest, AML coverage of non-financial professions, beneficial ownership transparency, and asset return procedures. It recommended legislative reforms, stronger monitoring, and clearer mechanisms for asset recovery.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries2/V1808730e.pdf
AUT,Austria,https://www.unodc.org/corruption/en/country-profiles/data/AUT.html,"The review notes establishment of a strong framework with the Penal and Criminal Procedure Codes, Federal Bureau of  Anti-Corruption (BAK), and Central Office for Prosecuting Economic Crimes and Corruption. It criminalizes domestic and foreign bribery, trading in influence, private sector bribery, money laundering, embezzlement, abuse of functions, obstruction of justice, and liability of legal persons, with good practices like extended forfeiture and broad jurisdiction. Gaps remain in illicit enrichment, preparatory acts, some obstruction offences, weak corporate liability, and limited sanctions, with recommendations for stronger asset declarations, whistle-blower protection, access to bank data, an asset management office, and greater independence for anti-corruption bodies.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1402186e.pdf,In progress,
BHR,Bahrain,https://www.unodc.org/corruption/en/country-profiles/data/BHR.html,"The review noted that the country enforces the convention through the Constitution, Criminal Code, AML and financial disclosure laws, with institutions like the General Directorate for Combating Corruption, Financial Intelligence Unit (FIU), and Public Prosecution Service. Its framework criminalizes bribery, trading in influence, embezzlement, money laundering, obstruction of justice, and illicit enrichment, though gaps remain in covering international organization officials, attempted bribery, abuse of functions, whistle-blower protection, and liability of legal persons beyond money laundering. Good practices include statutes of limitation rules for corruption, use of modern technology linking prosecution to police, and broad predicate offences for money laundering. Challenges include expanding criminalization, regulating confiscated asset management, disqualifying offenders from state enterprises, and providing full protection for reporting persons.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1503714e.pdf,"The review found that Bahrain has a comprehensive anti-corruption framework based on the Criminal Code, anti-money laundering (AML), procurement, and civil service laws, implemented by the General Directorate to Combat Corruption, Financial Intelligence Unit (FIU), Public Prosecution, Audit Office, Civil Service Bureau, and Tenders and Procurement Board. Good practices included integrity campaigns, school-based education programmes, corporate governance rules, electronic case distribution, and beneficial ownership registers. However, the review noted challenges in ensuring the independence of anti-corruption bodies, strengthening conflict-of-interest, access-to-information, and whistleblower protections, improving procurement complaint mechanisms, and enhancing verification of beneficial ownership data.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries2/V2000137e.pdf
BGD,Bangladesh,https://www.unodc.org/corruption/en/country-profiles/data/BGD.html,"The review recognizes strengthening of anti-corruption framework through the work of the Anti-Corruption Commission (ACC), the Financial Intelligence Unit (FIU), and other relevant ministries. Progress was noted in areas such as criminalizing key offences, introducing asset declaration requirements, and adopting whistleblower protection measures. Nonetheless, the review highlighted important gaps, including the absence of provisions on foreign bribery, active trading in influence, liability of legal persons, and comprehensive witness protection. While mechanisms for international cooperation are in place, limited enforcement capacity and weak inter-agency coordination persist. The review recommended expanding the scope of criminalization, reinforcing the independence of the ACC.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1254364e.pdf,In progress,
BEL,Belgium,https://www.unodc.org/corruption/en/country-profiles/data/BEL.html,"The review noted the establishment of an anti-corruption framework through the Criminal Code, AML legislation, and institutions such as the Anti-Corruption Office, the Financial Intelligence Unit (FIU), and the asset confiscation authority. The framework criminalizes bribery in the public, foreign, and private sectors, as well as trading in influence, embezzlement, abuse of functions, money laundering, and obstruction of justice. Good practices include broad definitions of undue advantage, strong witness protection measures, and active participation in international cooperation. Nonetheless, gaps remain, including unclear rules on gifts, limited coverage of trading in influence and illicit enrichment, weak corporate liability, insufficient data on confiscation, and constraints imposed by statutes of limitation. Recommendations focus on legislative reforms, enhanced whistleblower protections, and the expansion of extradition and mutual legal assistance frameworks.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1605773e.pdf,"The review noted Belgium’s preventive measures on integrity, whistleblower protection, procurement, conflicts of interest, asset declarations, and anti-money laundering (AML), implemented by bodies such as the Federal Ethics and Deontology Committee (BEDA), the Federal Selection Office (SELOR), the Financial Intelligence Processing Unit (CTIF-CFI), and the Federal Public Service for Strategy and Coordination (OCSC). Good practices included integrity surveys, training for officials in sensitive positions, reporting channels for companies operating abroad, and strong international cooperation. However, the review identified challenges related to the limited independence of key bodies, weak verification of asset declarations, inconsistent conflict-of-interest rules, absence of non-conviction-based confiscation, poor asset recovery data, and unclear avenues for foreign States to claim assets. It recommended legislative reforms, stronger oversight, and clearer procedures for asset return.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries2/V2000222e.pdf
BWA,Botswana,https://www.unodc.org/corruption/en/country-profiles/data/BWA.html,"The review noted that the country enforces the convention through a dual legal system, with key laws including the Corruption and Economic Crime Act (CECA), Proceeds of Serious Crime Act (POSCA), and Penal Code, supported by institutions like the Directorate on Corruption and Economic Crime (DCEC), Financial Intelligence Agency, and judiciary. Its framework criminalizes bribery, trading in influence, money laundering, embezzlement, abuse of functions, illicit enrichment, obstruction of justice, and liability of legal persons, though gaps remain in fully covering foreign bribery, self-laundering, and private sector offences. Good practices include specialized anti-corruption units, regional offices, strong cooperation among DCEC, police, and prosecution, and the Commonwealth Africa Anti-Corruption Centre.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1403520e.pdf,"The review highlighted Botswana’s anti-corruption framework under laws on corruption, anti-money laundering (AML), public service, and procurement, implemented by institutions such as the Directorate on Corruption and Economic Crime (DCEC), the Financial Intelligence Agency (FIA), the Office of the Ombudsman, the Auditor General, and the Directorate of Public Prosecutions (DPP). Good practices included prevention committees, the Public Service Charter, e-procurement systems, and court case management tools. However, the review noted challenges in conflict-of-interest and asset disclosure rules, political finance regulation, whistleblower protection, and ensuring the independence of the DCEC, as well as gaps in beneficial ownership transparency and asset return mechanisms. It recommended reforms to strengthen oversight, enhance AML/Countering the Financing of Terrorism (CFT) supervision, and improve international cooperation.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries2/V1900383e.pdf
BRA,Brazil,https://www.unodc.org/corruption/en/country-profiles/data/BRA.html,"The review acknowledges notable progress in strengthening Brazil’s anti-corruption framework. It highlighted the roles of key institutions such as the Office of the Comptroller General (CGU), the Federal Prosecution Service, and National Strategy Against Corruption and Money-Laundering (ENCCLA), along with legislation criminalizing bribery, money laundering, embezzlement, and abuse of functions. Measures such as asset declarations and whistleblower protection were also recognized. Good practices included liability provisions for legal entities, centralized databases on disciplinary measures and seized assets, and Brazil’s active engagement in international cooperation networks. At the same time, the review identified persisting gaps, including the absence of provisions on passive bribery of foreign officials and bribery in the private sector, the narrow scope of liability for legal persons, reliance on non-criminal sanctions for illicit enrichment, and weaknesses in enforcement and protection mechanisms.",https://www.unodc.org/documents/treaties/UNCAC/WorkingGroups/ImplementationReviewGroup/ExecutiveSummaries/V1505820e.pdf,"The review recognized  progress in building a robust anti-corruption framework through strong institutions, integrity programmes, procurement reforms, transparency initiatives, and efforts to promote business integrity. Notable achievements included asset declaration systems, whistleblower protections, the Pro-Ethics Programme, and the establishment of an asset recovery laboratory. Nonetheless, the review identified continuing challenges, such as insufficient regulation of high-risk positions, gaps in conflict-of-interest rules, limited procurement training, lack of anti-money laundering obligations for lawyers, and delays in asset recovery. It recommended strengthening beneficial ownership transparency, enhancing cross-border cooperation, and improving mechanisms for asset return.",https://track.unodc.org/uploads/documents/UNCAC/WorkingGroups/ImplementationReviewGroup/16-20June2025/CAC-COSP-IRG-II-4-1-Add.17/2506800E.pdf
